0,1,2,3,4,5,6,7,8,9,10
sausage,chewing gum,,,,,,,,,
other vegetables,herbs,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
domestic eggs,margarine,,,,,,,,,
beef,jam,flower (seeds),,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,sausage,root vegetables,long life bakery product,frozen vegetables,,,,,,
canned beer,misc. beverages,liqueur,,,,,,,,
citrus fruit,syrup,,,,,,,,,
whole milk,cling film/bags,,,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
pasta,root vegetables,,,,,,,,,
pastry,pasta,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
pork,citrus fruit,,,,,,,,,
whole milk,frozen vegetables,white wine,,,,,,,,
soda,cake bar,,,,,,,,,
pork,tea,,,,,,,,,
root vegetables,berries,brandy,,,,,,,,
chicken,spread cheese,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
hamburger meat,spices,chocolate,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
bottled beer,canned fish,fruit/vegetable juice,,,,,,,,
yogurt,bottled beer,napkins,,,,,,,,
chicken,pip fruit,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
soda,beverages,,,,,,,,,
sausage,whisky,specialty chocolate,dishes,yogurt,napkins,detergent,pastry,,,
whole milk,frozen meals,,,,,,,,,
hard cheese,yogurt,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,ice cream,turkey,artif. sweetener,,,,,,,
tropical fruit,whipped/sour cream,hygiene articles,,,,,,,,
tropical fruit,spread cheese,onions,mayonnaise,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
canned beer,frozen vegetables,,,,,,,,,
misc. beverages,oil,,,,,,,,,
turkey,fruit/vegetable juice,domestic eggs,,,,,,,,
bottled water,soda,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
bottled water,newspapers,,,,,,,,,
napkins,margarine,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
misc. beverages,instant coffee,soda,tropical fruit,cling film/bags,,,,,,
sausage,beef,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
root vegetables,dessert,,,,,,,,,
ham,chocolate,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
soda,dish cleaner,,,,,,,,,
sausage,seasonal products,,,,,,,,,
sausage,root vegetables,brown bread,,,,,,,,
yogurt,margarine,,,,,,,,,
bottled water,chocolate,jam,,,,,,,,
frankfurter,whole milk,,,,,,,,,
meat,newspapers,cleaner,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
meat,whole milk,newspapers,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beverages,coffee,,,,,,,,,
berries,pip fruit,,,,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
soda,flour,cocoa drinks,,,,,,,,
frankfurter,margarine,frozen vegetables,,,,,,,,
meat,other vegetables,,,,,,,,,
baking powder,pickled vegetables,,,,,,,,,
yogurt,yogurt,bags,,,,,,,,
whole milk,pastry,,,,,,,,,
pastry,soda,,,,,,,,,
whole milk,whipped/sour cream,whole milk,yogurt,whipped/sour cream,,,,,,
ham,bottled water,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
canned beer,brown bread,,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
flour,brown bread,,,,,,,,,
tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,,
dish cleaner,soda,,,,,,,,,
root vegetables,dessert,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
whole milk,white bread,,,,,,,,,
pork,bottled water,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
pastry,bottled water,,,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
sugar,popcorn,baking powder,,,,,,,,
yogurt,brown bread,,,,,,,,,
pastry,shopping bags,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
chewing gum,coffee,napkins,brown bread,,,,,,,
root vegetables,salt,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
root vegetables,fruit/vegetable juice,specialty chocolate,,,,,,,,
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables,,,,
tropical fruit,bottled beer,UHT-milk,root vegetables,,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
other vegetables,shopping bags,packaged fruit/vegetables,,,,,,,,
butter,misc. beverages,shopping bags,,,,,,,,
curd,yogurt,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
soda,onions,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
sausage,butter,,,,,,,,,
detergent,candy,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
curd,detergent,,,,,,,,,
yogurt,sweet spreads,canned beer,pot plants,,,,,,,
whipped/sour cream,soda,,,,,,,,,
shopping bags,margarine,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
rolls/buns,soda,,,,,,,,,
root vegetables,frozen potato products,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pip fruit,rolls/buns,shopping bags,,,,,,,,
tropical fruit,salt,,,,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
yogurt,whole milk,,,,,,,,,
dishes,sweet spreads,,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
whole milk,margarine,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
other vegetables,Instant food products,sugar,,,,,,,,
canned beer,pastry,butter,,,,,,,,
whole milk,pip fruit,,,,,,,,,
whole milk,cake bar,,,,,,,,,
soda,soda,,,,,,,,,
pip fruit,pastry,,,,,,,,,
semi-finished bread,dish cleaner,,,,,,,,,
soda,curd,,,,,,,,,
chicken,whole milk,butter,soda,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,butter,,,,,,,,,
spices,ice cream,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
sausage,pork,sugar,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pork,domestic eggs,,,,,,,,,
ice cream,newspapers,,,,,,,,,
beef,pasta,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
make up remover,shopping bags,,,,,,,,,
onions,rolls/buns,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
sausage,other vegetables,,,,,,,,,
grapes,soda,other vegetables,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
mustard,fruit/vegetable juice,,,,,,,,,
whole milk,brown bread,,,,,,,,,
yogurt,dog food,,,,,,,,,
herbs,grapes,whipped/sour cream,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
butter,beef,,,,,,,,,
fruit/vegetable juice,rolls/buns,packaged fruit/vegetables,ice cream,rolls/buns,pasta,margarine,pip fruit,,,
whole milk,domestic eggs,,,,,,,,,
beef,finished products,,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
other vegetables,brown bread,,,,,,,,,
turkey,meat,rolls/buns,,,,,,,,
beef,tea,oil,,,,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
candy,domestic eggs,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
root vegetables,whole milk,pastry,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
meat,cake bar,,,,,,,,,
soda,whole milk,frozen fish,canned beer,ready soups,chocolate,,,,,
chicken,domestic eggs,,,,,,,,,
pork,pork,rolls/buns,sparkling wine,,,,,,,
citrus fruit,dessert,,,,,,,,,
frozen fish,soda,vinegar,,,,,,,,
jam,house keeping products,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
sausage,soda,,,,,,,,,
hamburger meat,detergent,flour,,,,,,,,
pastry,napkins,,,,,,,,,
curd,whipped/sour cream,margarine,,,,,,,,
sausage,candy,,,,,,,,,
whole milk,margarine,sugar,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
bottled water,butter milk,,,,,,,,,
rolls/buns,rolls/buns,sugar,,,,,,,,
soda,UHT-milk,,,,,,,,,
bottled water,canned beer,,,,,,,,,
beverages,salt,,,,,,,,,
hard cheese,yogurt,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
citrus fruit,butter milk,cream cheese ,,,,,,,,
newspapers,pork,root vegetables,napkins,,,,,,,
yogurt,other vegetables,,,,,,,,,
domestic eggs,butter,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
tropical fruit,detergent,,,,,,,,,
meat,butter milk,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
other vegetables,curd,,,,,,,,,
UHT-milk,pork,,,,,,,,,
roll products ,oil,UHT-milk,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled water,coffee,,,,,,,,,
yogurt,grapes,,,,,,,,,
ham,yogurt,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
baking powder,domestic eggs,,,,,,,,,
rolls/buns,prosecco,,,,,,,,,
citrus fruit,domestic eggs,flour,,,,,,,,
salt,root vegetables,,,,,,,,,
chocolate marshmallow,yogurt,,,,,,,,,
other vegetables,margarine,brown bread,,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pork,sliced cheese,flour,,,,,,,,
hamburger meat,root vegetables,bottled beer,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
berries,bottled water,napkins,,,,,,,,
rolls/buns,soda,citrus fruit,spread cheese,,,,,,,
chocolate,citrus fruit,bottled beer,bottled water,red/blush wine,,,,,,
turkey,other vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
ham,rolls/buns,,,,,,,,,
bottled beer,white wine,candles,,,,,,,,
ham,specialty bar,,,,,,,,,
other vegetables,other vegetables,newspapers,pip fruit,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
curd,coffee,baking powder,,,,,,,,
spread cheese,newspapers,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
hard cheese,soda,,,,,,,,,
butter milk,white wine,,,,,,,,,
shopping bags,white bread,ice cream,,,,,,,,
soda,soda,pip fruit,popcorn,soda,pasta,whole milk,dental care,,,
beef,pot plants,frozen meals,,,,,,,,
beef,misc. beverages,,,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
salty snack,canned beer,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
beef,herbs,,,,,,,,,
oil,bottled water,whipped/sour cream,,,,,,,,
canned beer,tropical fruit,bottled beer,,,,,,,,
root vegetables,tropical fruit,bottled water,white bread,processed cheese,yogurt,beverages,,,,
chicken,whole milk,,,,,,,,,
flour,grapes,frankfurter,bottled beer,citrus fruit,grapes,other vegetables,cat food,frozen vegetables,,
yogurt,coffee,,,,,,,,,
bottled water,pastry,,,,,,,,,
condensed milk,chocolate,,,,,,,,,
ham,brown bread,,,,,,,,,
frozen vegetables,yogurt,pot plants,,,,,,,,
curd,waffles,,,,,,,,,
root vegetables,dish cleaner,,,,,,,,,
misc. beverages,tea,,,,,,,,,
other vegetables,soda,,,,,,,,,
chicken,candy,sugar,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
pork,rolls/buns,,,,,,,,,
whole milk,brown bread,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
canned beer,liquor,,,,,,,,,
beef,curd,,,,,,,,,
rolls/buns,dessert,frozen meals,grapes,other vegetables,napkins,other vegetables,,,,
frankfurter,waffles,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
soda,other vegetables,,,,,,,,,
salad dressing,hard cheese,,,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
whole milk,cream cheese ,,,,,,,,,
canned fish,butter,pot plants,,,,,,,,
misc. beverages,waffles,bottled beer,,,,,,,,
bottled water,rolls/buns,popcorn,,,,,,,,
specialty chocolate,tropical fruit,,,,,,,,,
canned beer,canned beer,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
chocolate,yogurt,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
pastry,red/blush wine,pickled vegetables,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
pastry,bottled water,candles,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
soda,canned beer,other vegetables,whole milk,,,,,,,
tropical fruit,frozen dessert,,,,,,,,,
other vegetables,soda,,,,,,,,,
soda,beef,soda,margarine,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
pork,turkey,pot plants,whole milk,soda,dishes,,,,,
frankfurter,bottled water,soft cheese,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
packaged fruit/vegetables,waffles,,,,,,,,,
grapes,whipped/sour cream,soda,,,,,,,,
sausage,yogurt,,,,,,,,,
onions,butter,,,,,,,,,
turkey,UHT-milk,,,,,,,,,
beef,candy,,,,,,,,,
waffles,bottled water,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
waffles,whole milk,shopping bags,flour,shopping bags,,,,,,
hamburger meat,whole milk,,,,,,,,,
coffee,sausage,salt,white wine,,,,,,,
cream cheese ,newspapers,,,,,,,,,
canned beer,sausage,other vegetables,rolls/buns,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
onions,root vegetables,domestic eggs,chocolate,,,,,,,
root vegetables,liquor,,,,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
newspapers,frozen dessert,,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
citrus fruit,candy,,,,,,,,,
rolls/buns,tropical fruit,salt,butter,whole milk,canned vegetables,domestic eggs,,,,
beverages,pastry,,,,,,,,,
candy,sausage,other vegetables,frozen vegetables,,,,,,,
newspapers,pastry,,,,,,,,,
soda,liquor (appetizer),salty snack,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
other vegetables,tropical fruit,onions,cream cheese ,root vegetables,root vegetables,yogurt,,,,
margarine,domestic eggs,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
herbs,newspapers,brown bread,,,,,,,,
ice cream,onions,,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
canned beer,shopping bags,,,,,,,,,
dessert,beef,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
sliced cheese,dessert,shopping bags,,,,,,,,
yogurt,pip fruit,yogurt,,,,,,,,
whole milk,pork,brown bread,other vegetables,,,,,,,
beef,napkins,,,,,,,,,
whole milk,flour,berries,,,,,,,,
whole milk,beef,,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
whole milk,soda,other vegetables,,,,,,,,
yogurt,bottled beer,rolls/buns,yogurt,sugar,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
other vegetables,sparkling wine,frozen meals,rolls/buns,,,,,,,
bottled beer,whole milk,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
pork,margarine,sugar,,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
meat,coffee,,,,,,,,,
root vegetables,meat,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,ham,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
pastry,cereals,,,,,,,,,
yogurt,photo/film,,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
soda,butter milk,citrus fruit,other vegetables,,,,,,,
canned beer,tropical fruit,,,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
chicken,rolls/buns,,,,,,,,,
whole milk,berries,yogurt,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
soda,whole milk,,,,,,,,,
citrus fruit,semi-finished bread,yogurt,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
citrus fruit,whole milk,bottled water,,,,,,,,
soda,roll products ,seasonal products,,,,,,,,
beef,soda,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
ham,whole milk,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
soda,other vegetables,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
domestic eggs,sugar,Instant food products,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
citrus fruit,butter,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
whole milk,citrus fruit,butter,pip fruit,,,,,,,
tropical fruit,cat food,,,,,,,,,
sugar,shopping bags,,,,,,,,,
domestic eggs,roll products ,oil,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
tropical fruit,flour,specialty chocolate,,,,,,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
soda,pastry,,,,,,,,,
frankfurter,pip fruit,hygiene articles,,,,,,,,
chicken,rolls/buns,,,,,,,,,
bottled water,chocolate,,,,,,,,,
other vegetables,beverages,ice cream,shopping bags,,,,,,,
ham,brown bread,,,,,,,,,
canned beer,canned beer,dessert,packaged fruit/vegetables,flour,meat spreads,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
chicken,mayonnaise,soda,sparkling wine,,,,,,,
beverages,chocolate,,,,,,,,,
sausage,soda,,,,,,,,,
sauces,frozen meals,,,,,,,,,
pet care,mustard,,,,,,,,,
white bread,baking powder,,,,,,,,,
specialty bar,cream cheese ,,,,,,,,,
yogurt,pastry,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
beef,chocolate,,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
pip fruit,turkey,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
semi-finished bread,berries,,,,,,,,,
berries,pip fruit,,,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
other vegetables,specialty bar,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,beverages,,,,,,,,,
bottled beer,sausage,candy,yogurt,,,,,,,
sausage,hamburger meat,,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
whole milk,root vegetables,hygiene articles,,,,,,,,
domestic eggs,shopping bags,,,,,,,,,
frankfurter,whole milk,rolls/buns,,,,,,,,
other vegetables,soda,,,,,,,,,
beef,frozen fish,whole milk,,,,,,,,
citrus fruit,margarine,,,,,,,,,
rolls/buns,curd cheese,Instant food products,,,,,,,,
UHT-milk,pip fruit,,,,,,,,,
shopping bags,rice,,,,,,,,,
curd,butter,,,,,,,,,
processed cheese,whole milk,,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
whole milk,meat,,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
shopping bags,white wine,,,,,,,,,
beverages,bottled water,,,,,,,,,
chocolate,sugar,coffee,,,,,,,,
grapes,butter,newspapers,pip fruit,,,,,,,
beef,margarine,,,,,,,,,
sausage,root vegetables,canned beer,rolls/buns,,,,,,,
tropical fruit,other vegetables,butter,rolls/buns,coffee,pastry,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
fruit/vegetable juice,seasonal products,,,,,,,,,
pot plants,coffee,rolls/buns,hard cheese,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
hamburger meat,chewing gum,,,,,,,,,
rolls/buns,citrus fruit,,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
fruit/vegetable juice,canned beer,,,,,,,,,
meat,beverages,newspapers,candy,,,,,,,
other vegetables,yogurt,,,,,,,,,
packaged fruit/vegetables,house keeping products,,,,,,,,,
beef,house keeping products,,,,,,,,,
whole milk,candy,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
pastry,bottled water,,,,,,,,,
pork,oil,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
whole milk,canned beer,,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
root vegetables,frankfurter,specialty bar,packaged fruit/vegetables,hygiene articles,,,,,,
onions,root vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
pip fruit,citrus fruit,other vegetables,white wine,frozen vegetables,,,,,,
yogurt,misc. beverages,,,,,,,,,
sausage,frozen meals,instant coffee,,,,,,,,
bottled beer,whole milk,other vegetables,,,,,,,,
specialty bar,waffles,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
beef,whole milk,,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
butter,hygiene articles,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
whole milk,bottled water,,,,,,,,,
sausage,tropical fruit,sausage,frankfurter,cream cheese ,other vegetables,hard cheese,chocolate,flour,,
